method,input_v,charge_time_s,output_power_w,fet_loss_w,coil_loss_w,partial_efficiency_pct,modeled_loss_energy_j,final_voltage_v
Stepped / clean,18.000000,1.299000,105.893590,5.239070,1.410294,94.091710,8.637524,450.124319
Stepped / clean,20.000000,1.038000,132.446528,6.496359,1.763215,94.129911,8.573437,450.084135
Stepped / clean,22.200000,0.830000,165.614001,8.046451,2.203798,94.171500,8.507706,450.154797
Stepped / clean,25.200000,0.631000,217.573210,10.434507,2.893563,94.227806,8.410012,450.033533
Continuous / clean,18.000000,1.293000,106.411740,5.264752,1.417195,94.091671,8.639757,450.180846
Continuous / clean,20.000000,1.034000,133.022880,6.524753,1.770886,94.129828,8.577691,450.192211
Continuous / clean,22.200000,0.827000,166.121068,8.070885,2.210546,94.171607,8.502744,450.028192
Continuous / clean,25.200000,0.630000,217.955205,10.452925,2.898659,94.227759,8.411498,450.071246
Stepped / filtered noise,18.000000,1.290050,105.519742,5.218618,1.405335,94.093339,8.545483,447.774933
Stepped / filtered noise,20.000000,1.041400,132.101626,6.479606,1.758622,94.129802,8.579311,450.231137
Stepped / filtered noise,22.200000,0.832550,164.933206,8.012972,2.194741,94.171716,8.498544,449.913289
Stepped / filtered noise,25.200000,0.638800,216.590220,10.391393,2.880476,94.226165,8.478273,451.769267
Continuous / filtered noise,18.000000,1.284650,105.879766,5.236278,1.410132,94.093458,8.538519,447.599246
Continuous / filtered noise,20.000000,1.039450,132.413616,6.495033,1.762774,94.129720,8.583628,450.340107
Continuous / filtered noise,22.200000,0.831100,165.160807,8.023910,2.197770,94.171780,8.495319,449.833612
Continuous / filtered noise,25.200000,0.638900,216.577851,10.390862,2.880332,94.226130,8.479153,451.791326
