time_s,capacitor_v,control_voltage_v,output_power_w,fet_conduction_loss_w,coil_copper_loss_w,peak_current_a,frequency_hz,duty_pct
0.000000,22.200000,22.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,26.584406,22.200000,145.445631,1.298392,1.974059,23.667842,10284.245108,9.998572
0.002000,28.692940,26.584406,79.256846,1.123531,1.059796,20.567334,10284.245108,9.998572
0.003000,30.366936,28.692940,67.228875,1.123531,0.900531,20.567334,10284.245108,9.998572
0.004000,31.933010,30.366936,66.345100,1.235884,0.889336,20.567334,10284.245108,9.998572
0.005000,33.192770,31.933010,55.789138,1.123531,0.748081,20.567334,10284.245108,9.998572
0.006000,34.340123,33.192770,52.689151,1.123531,0.706610,20.567334,10284.245108,9.998572
0.007000,35.400735,34.340123,50.298264,1.123531,0.674579,20.567334,10284.245108,9.998572
0.008000,36.487545,35.400735,53.127658,1.235884,0.712523,20.567334,10284.245108,9.998572
0.009000,37.415941,36.487545,46.655935,1.123531,0.625705,20.567334,10284.245108,9.998572
0.010000,38.296648,37.415941,45.342829,1.123531,0.608063,20.567334,10284.245108,9.998572
0.011000,39.218276,38.296648,48.579117,1.235884,0.651419,20.567334,10284.245108,9.998572
0.012000,40.018893,39.218276,43.138252,1.123531,0.578416,20.567334,10284.245108,9.998572
0.013000,40.788348,40.018893,42.280754,1.123531,0.566876,20.567334,10284.245108,9.998572
0.014000,41.530024,40.788348,41.516439,1.123531,0.556585,20.567334,10284.245108,9.998572
0.015000,42.317124,41.530024,44.877332,1.235884,0.601592,20.567334,10284.245108,9.998572
0.016000,43.009086,42.317124,40.148865,1.123531,0.538162,20.567334,10284.245108,9.998572
0.017000,43.680644,43.009086,39.587718,1.123531,0.530598,20.567334,10284.245108,9.998572
0.018000,44.397823,43.680644,42.954252,1.235884,0.575674,20.567334,10284.245108,9.998572
0.019000,45.031822,44.397823,38.554868,1.123531,0.516672,20.567334,10284.245108,9.998572
0.020000,45.650022,45.031822,38.120449,1.123531,0.510812,20.567334,10284.245108,9.998572
0.021000,46.253548,45.650022,37.717032,1.123531,0.505369,20.567334,10284.245108,9.998572
0.022000,46.901668,46.253548,41.055495,1.235884,0.550060,20.567334,10284.245108,9.998572
0.023000,47.477502,46.901668,36.955754,1.123531,0.495095,20.567334,10284.245108,9.998572
0.024000,48.041423,47.477502,36.628323,1.123531,0.490675,20.567334,10284.245108,9.998572
0.025000,48.648824,48.041423,39.936247,1.235884,0.534950,20.567334,10284.245108,9.998572
0.026000,49.189963,48.648824,36.002123,1.123531,0.482219,20.567334,10284.245108,9.998572
0.027000,49.721180,49.189963,35.729488,1.123531,0.478537,20.567334,10284.245108,9.998572
0.028000,50.243005,49.721180,35.471341,1.123531,0.475050,20.567334,10284.245108,9.998572
0.029000,52.002022,50.243005,122.298494,3.932358,1.637663,20.567334,34269.395526,33.317468
0.030000,53.622243,52.002022,116.371586,3.820005,1.557996,20.567334,34269.395526,33.317468
0.031000,55.167471,53.622243,114.311326,3.820005,1.530142,20.567334,34269.395526,33.317468
0.032000,56.647249,55.167471,112.513445,3.820005,1.505828,20.567334,34269.395526,33.317468
0.033000,58.110269,56.647249,114.166939,3.932358,1.527721,20.567334,34269.395526,33.317468
0.034000,59.479351,58.110269,109.473089,3.820005,1.464697,20.567334,34269.395526,33.317468
0.035000,60.802302,59.479351,108.206229,3.820005,1.447553,20.567334,34269.395526,33.317468
0.036000,62.120585,60.802302,110.192053,3.932358,1.473930,20.567334,34269.395526,33.317468
0.037000,63.362675,62.120585,105.985757,3.820005,1.417496,20.567334,34269.395526,33.317468
0.038000,64.570015,63.362675,105.031639,3.820005,1.404577,20.567334,34269.395526,33.317468
0.039000,65.745370,64.570015,104.153447,3.820005,1.392685,20.567334,34269.395526,33.317468
0.040000,66.924429,65.745370,106.369401,3.932358,1.422170,20.567334,34269.395526,33.317468
0.041000,68.041993,66.924429,102.566838,3.820005,1.371196,20.567334,34269.395526,33.317468
0.042000,69.134048,68.041993,101.866555,3.820005,1.361710,20.567334,34269.395526,33.317468
0.043000,70.202265,69.134048,101.212177,3.820005,1.352844,20.567334,34269.395526,33.317468
0.044000,71.278578,70.202265,103.548792,3.932358,1.383960,20.567334,34269.395526,33.317468
0.045000,72.302860,71.278578,100.006158,3.820005,1.336503,20.567334,34269.395526,33.317468
0.046000,73.307396,72.302860,99.464177,3.820005,1.329158,20.567334,34269.395526,33.317468
0.047000,74.293288,73.307396,98.952402,3.820005,1.322223,20.567334,34269.395526,33.317468
0.048000,75.289756,74.293288,101.357181,3.932358,1.354259,20.567334,34269.395526,33.317468
0.049000,76.240795,75.289756,97.995829,3.820005,1.309257,20.567334,34269.395526,33.317468
0.050000,77.175967,76.240795,97.560346,3.820005,1.303354,20.567334,34269.395526,33.317468
0.051000,78.122881,77.175967,99.997138,3.932358,1.335823,20.567334,34269.395526,33.317468
0.052000,79.028152,78.122881,96.739720,3.820005,1.292229,20.567334,34269.395526,33.317468
0.053000,79.919707,79.028152,96.363291,3.820005,1.287125,20.567334,34269.395526,33.317468
0.054000,80.798151,79.919707,96.003481,3.820005,1.282247,20.567334,34269.395526,33.317468
0.055000,81.689328,80.798151,98.467542,3.932358,1.315084,20.567334,34269.395526,33.317468
0.056000,82.542851,81.689328,95.319583,3.820005,1.272973,20.567334,34269.395526,33.317468
0.057000,83.384849,82.542851,95.003330,3.820005,1.268684,20.567334,34269.395526,33.317468
0.058000,84.215777,83.384849,94.699559,3.820005,1.264565,20.567334,34269.395526,33.317468
0.059000,85.060029,84.215777,97.179852,3.932358,1.297622,20.567334,34269.395526,33.317468
0.060000,85.869772,85.060029,94.118222,3.820005,1.256681,20.567334,34269.395526,33.317468
0.061000,86.669654,85.869772,93.847660,3.820005,1.253011,20.567334,34269.395526,33.317468
0.062000,87.483134,86.669654,96.335450,3.932358,1.286169,20.567334,34269.395526,33.317468
0.063000,88.264066,87.483134,93.327667,3.820005,1.245958,20.567334,34269.395526,33.317468
0.064000,89.036142,88.264066,93.084676,3.820005,1.242662,20.567334,34269.395526,33.317468
0.065000,89.799657,89.036142,92.849773,3.820005,1.239475,20.567334,34269.395526,33.317468
0.066000,90.576979,89.799657,95.343345,3.932358,1.272711,20.567334,34269.395526,33.317468
0.067000,91.323961,90.576979,92.396141,3.820005,1.233321,20.567334,34269.395526,33.317468
0.068000,92.063181,91.323961,92.183192,3.820005,1.230432,20.567334,34269.395526,33.317468
0.069000,92.794877,92.063181,91.976749,3.820005,1.227631,20.567334,34269.395526,33.317468
0.070000,93.540472,92.794877,94.472824,3.932358,1.260901,20.567334,34269.395526,33.317468
0.071000,94.257579,93.540472,91.576473,3.820005,1.222200,20.567334,34269.395526,33.317468
0.072000,94.967811,94.257579,91.387847,3.820005,1.219641,20.567334,34269.395526,33.317468
0.073000,95.671361,94.967811,91.204547,3.820005,1.217154,20.567334,34269.395526,33.317468
0.074000,96.388821,95.671361,93.700924,3.932358,1.250427,20.567334,34269.395526,33.317468
0.075000,97.079374,96.388821,90.847929,3.820005,1.212315,20.567334,34269.395526,33.317468
0.076000,97.763780,97.079374,90.679325,3.820005,1.210027,20.567334,34269.395526,33.317468
0.077000,98.462067,97.763780,93.174914,3.932358,1.243289,20.567334,34269.395526,33.317468
0.078000,99.134490,98.462067,90.350559,3.820005,1.205565,20.567334,34269.395526,33.317468
0.079000,99.801235,99.134490,90.194787,3.820005,1.203451,20.567334,34269.395526,33.317468
0.080000,100.462443,99.801235,90.042897,3.820005,1.201390,20.567334,34269.395526,33.317468
0.081000,101.787843,100.462443,182.282425,7.752362,2.431985,20.567334,68506.184586,66.603235
0.082000,103.073304,101.787843,179.071989,7.640009,2.389021,20.567334,68506.184586,66.603235
0.083000,104.357609,103.073304,181.155078,7.752362,2.416684,20.567334,68506.184586,66.603235
0.084000,105.604414,104.357609,178.011528,7.640009,2.374627,20.567334,68506.184586,66.603235
0.085000,106.851225,105.604414,180.126528,7.752362,2.402723,20.567334,68506.184586,66.603235
0.086000,108.062663,106.851225,177.041363,7.640009,2.361458,20.567334,68506.184586,66.603235
