input_v,pwm_counts,target_v,reached_within_1s,charge_time_s,final_voltage_v,average_output_power_w,average_fet_conduction_loss_w,average_coil_copper_loss_w,max_peak_current_a,overshoot_v
18.0,650,450.0,0,1.389000,450.063,99.005,4.540,1.223,16.287,0.063
20.0,650,450.0,0,1.110000,450.193,123.915,5.633,1.530,19.153,0.193
22.2,650,450.0,1,0.887000,450.059,154.905,6.975,1.911,22.306,0.059
25.2,650,450.0,1,0.675000,450.137,203.485,9.045,2.509,26.605,0.137
18.0,700,450.0,0,1.299000,450.124,105.894,5.239,1.410,17.289,0.124
20.0,700,450.0,0,1.038000,450.084,132.447,6.496,1.763,20.326,0.084
22.2,700,450.0,1,0.830000,450.155,165.614,8.046,2.204,23.668,0.155
25.2,700,450.0,1,0.631000,450.034,217.573,10.435,2.894,28.224,0.034
18.0,750,450.0,0,1.221000,450.073,112.632,5.982,1.610,18.266,0.073
20.0,750,450.0,1,0.975000,450.048,140.982,7.423,2.014,21.469,0.048
22.2,750,450.0,1,0.780000,450.159,176.234,9.191,2.516,24.993,0.159
25.2,750,450.0,1,0.594000,450.310,231.411,11.914,3.302,29.799,0.310
